# format: as|source|type
# date: 20200101
# name: as2type
# exe: type-convert-amogh.pl
# files: 20200101.merged.class.txt
# types: Content|Enterprise|Transit/Access
104|CAIDA_class|Transit/Access
106|CAIDA_class|Transit/Access
109|peerDB_class|Enterprise
111|CAIDA_class|Transit/Access
112|CAIDA_class|Content
116|CAIDA_class|Transit/Access
120|CAIDA_class|Transit/Access
121|CAIDA_class|Transit/Access
122|CAIDA_class|Transit/Access
125|CAIDA_class|Transit/Access
127|CAIDA_class|Transit/Access
131|CAIDA_class|Transit/Access
132|CAIDA_class|Transit/Access
137|CAIDA_class|Transit/Access
138|CAIDA_class|Transit/Access
140|CAIDA_class|Enterprise
145|CAIDA_class|Transit/Access
147|CAIDA_class|Enterprise
149|CAIDA_class|Transit/Access
151|CAIDA_class|Transit/Access
153|CAIDA_class|Enterprise
154|CAIDA_class|Enterprise
156|CAIDA_class|Transit/Access
157|CAIDA_class|Transit/Access
158|CAIDA_class|Transit/Access
159|CAIDA_class|Transit/Access
160|CAIDA_class|Transit/Access
161|CAIDA_class|Transit/Access
166|CAIDA_class|Transit/Access
167|CAIDA_class|Transit/Access
173|CAIDA_class|Transit/Access
174|peerDB_class|Transit/Access
186|CAIDA_class|Transit/Access
187|CAIDA_class|Transit/Access
188|CAIDA_class|Transit/Access
190|CAIDA_class|Transit/Access
194|manual_class|Enterprise
195|CAIDA_class|Transit/Access
196|CAIDA_class|Transit/Access
200|CAIDA_class|Transit/Access
201|CAIDA_class|Transit/Access
202|CAIDA_class|Transit/Access
205|CAIDA_class|Transit/Access
206|CAIDA_class|Transit/Access
209|peerDB_class|Transit/Access
210|CAIDA_class|Transit/Access
213|CAIDA_class|Transit/Access
217|CAIDA_class|Transit/Access
224|CAIDA_class|Content
225|CAIDA_class|Transit/Access
226|CAIDA_class|Transit/Access
228|CAIDA_class|Transit/Access
229|CAIDA_class|Transit/Access
231|CAIDA_class|Enterprise
234|CAIDA_class|Transit/Access
237|CAIDA_class|Transit/Access
239|CAIDA_class|Transit/Access
243|CAIDA_class|Enterprise
246|CAIDA_class|Transit/Access
250|CAIDA_class|Enterprise
251|CAIDA_class|Enterprise
252|CAIDA_class|Transit/Access
257|CAIDA_class|Transit/Access
260|peerDB_class|Transit/Access
262|CAIDA_class|Transit/Access
264|CAIDA_class|Transit/Access
267|CAIDA_class|Transit/Access
270|CAIDA_class|Transit/Access
271|CAIDA_class|Transit/Access
272|CAIDA_class|Transit/Access
273|CAIDA_class|Transit/Access
276|CAIDA_class|Transit/Access
278|CAIDA_class|Transit/Access
